"copy_path"	"source_path"	"role"	"source_sha256"	"copy_sha256"	"reason"
"EVIDENCE/001__PRIMARY_B6B1_ANALYTIC_MOMENT_ENVELOPES.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/246_B6B1_ANALYTIC_BACKGROUND_SOURCE_MOMENT_ENVELOPES_SK.md"	"primary-formula"	"5E911971C2B7BAF2C2054228993766D753617D083F240A85FAAE75CF6C449223"	"5E911971C2B7BAF2C2054228993766D753617D083F240A85FAAE75CF6C449223"	"B6b-1 common and MF1-MF4 background/source-moment envelopes"
"EVIDENCE/002__PRIMARY_B6B2_PERTURBATION_SEARCH_S8_PASSPORT.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/247_B6B2_PERTURBATION_SEARCH_AND_S8_PASSPORT_SK.md"	"primary-formula"	"BEFF839636810D8AB83985DEE4CCF65892F15F670343AB6416450799131C895E"	"BEFF839636810D8AB83985DEE4CCF65892F15F670343AB6416450799131C895E"	"B6b-2 covariant P0-P8, search, calibration and holdout passport"
"EVIDENCE/003__PARENT_SM_V1_AUTHOR_INPUT_CONTRACT.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/245_A1_K1_A2_K4_P5_3_SM_v1_AUTHOR_INPUT_CONTRACT_DRAFT_SK.md"	"parent-primary"	"AF289165385801F019454F2CAFF41EFEB25D0A3E2444FA73EAF6B6EBF4E901CB"	"AF289165385801F019454F2CAFF41EFEB25D0A3E2444FA73EAF6B6EBF4E901CB"	"Parent D03-D11 dependencies and MF1-MF4 family lineage"
"EVIDENCE/004__INTRODUCTION_AND_PHILOSOPHY_SK.md"	"theory/SK/01_Introduction_and_Philosophy_SK.md"	"theory-philosophy"	"678FA9C1AC3C24916FE2E75BEAB6E164ED95933CBE4A1F530C47978AB23AC8A1"	"678FA9C1AC3C24916FE2E75BEAB6E164ED95933CBE4A1F530C47978AB23AC8A1"	"Cellular, steam, matter and ash semantics"
"EVIDENCE/005__MAIN_THEORY_EQUATIONS_VALUES_V3_17_SK.md"	"theory/SK/04_Main_Document_Theory_Equations_Values_v3.17_SK.md"	"primary-theory-lineage"	"01B8DD903C3BB97B30E29E2C1E2E2B280D3968EDD0679C610E84A78CC55CBF43"	"01B8DD903C3BB97B30E29E2C1E2E2B280D3968EDD0679C610E84A78CC55CBF43"	"Primary theory equation and value lineage"
"EVIDENCE/006__Q22A_CONSTRAINT_TO_FUNCTION_PROTOCOL.md"	"Questions/Q22A_CONSTRAINT_TO_FUNCTION_DERIVATION_PROTOCOL_SK.md"	"derivation-protocol"	"5B6BE06FFD3C15B9E750BB0BAED6E5936B92F4A4DC9FCB1A264444E2C7BAD54E"	"5B6BE06FFD3C15B9E750BB0BAED6E5936B92F4A4DC9FCB1A264444E2C7BAD54E"	"Constraint-to-function derivation and empty-set discipline"
"EVIDENCE/007__Q22A_EARLY_STEAM_CONSTRAINT_LEDGER.md"	"Questions/Q22A_EARLY_STEAM_FUNCTION_CONSTRAINT_LEDGER_SK.md"	"constraint-ledger"	"8F1DF72F056A183D156776F0CD507FAB0FAF6D44A8C75D1E2F487ADB90551A24"	"8F1DF72F056A183D156776F0CD507FAB0FAF6D44A8C75D1E2F487ADB90551A24"	"Early-steam physical and observational mantles"
"EVIDENCE/008__WORKING_METHODOLOGY_REGISTER.md"	"tracks/METHODOLOGY/05_WORKING_Methodology_Rules_and_Question_Register_SK.md"	"methodology"	"AB29543ACD4F132276DF59E1020EEA6FB3A042C78FAAA1B7DDD448F5479D0FF1"	"AB29543ACD4F132276DF59E1020EEA6FB3A042C78FAAA1B7DDD448F5479D0FF1"	"Working rules for evidence classes, no hidden fit and non-overclaim"
"EVIDENCE/009__CONSTRAINT_FEASIBILITY_GATE.md"	"tracks/METHODOLOGY/00_CONSTRAINT_FEASIBILITY_GATE_SK.md"	"feasibility-evidence-class"	"4A0BA3539CFCEE23AEBBA246E4DD1486EEE315B036FE3A0A23821656932A27EC"	"4A0BA3539CFCEE23AEBBA246E4DD1486EEE315B036FE3A0A23821656932A27EC"	"E0-E3 evidence classes and feasibility gate"
"EVIDENCE/010__CURRENT_EXECUTION_PLAN.md"	"tracks/00_CURRENT_EXECUTION_PLAN.md"	"authoritative-state"	"072E4F0B7FE88C09B90D1971CC8B96DCEFC18DBB55EBF3849F4553AD9CFDF85B"	"072E4F0B7FE88C09B90D1971CC8B96DCEFC18DBB55EBF3849F4553AD9CFDF85B"	"Authoritative B6b-1/B6b-2 state, blocker and successor"
