"copy_path"	"source_path"	"role"	"source_sha256"	"copy_sha256"	"reason"
"EVIDENCE/001__PRIMARY_B6B2_3_P0_P3_COMPATIBILITY_MATRIX.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/250_B6B2_3_D04_D08_D10_P0_P3_COMPATIBILITY_CONSTRAINT_MATRIX_SK.md"	"primary-formula"	"50DD361BCCD989458A7614BCCDF625256BC1E9994779DB3140F1D2B709B07B58"	"50DD361BCCD989458A7614BCCDF625256BC1E9994779DB3140F1D2B709B07B58"	"Audited P0-P3 compatibility matrix, typed constraints, profiles, certificates and quotient"
"EVIDENCE/002__B6B2_2_POSSIBILITY_SPACE_PROTOCOL.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/249_B6B2_2_D04_D08_D10_POSSIBILITY_SPACE_DERIVATION_PROTOCOL_SK.md"	"parent-protocol"	"A3888FBB860FB4AB71005B9079AF15856EE9A8C2504DEB712D0148C8BB578264"	"A3888FBB860FB4AB71005B9079AF15856EE9A8C2504DEB712D0148C8BB578264"	"Parent P0-P8 possibility-space construction and evidence discipline"
"EVIDENCE/003__B6B2_1_SUPERSEDED_AUTHOR_QUESTION_BUNDLE.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/248_B6B2_1_D04_D08_D10_AUTHOR_INPUT_QUESTION_BUNDLE_SK.md"	"historical-lineage"	"F9ACD1EF48B4DE0AA793A849E5C0173B01FDC569F6C7521192AF7B338991A41F"	"F9ACD1EF48B4DE0AA793A849E5C0173B01FDC569F6C7521192AF7B338991A41F"	"Superseded questionnaire establishing why unobservable Planck facts are not author guesses"
"EVIDENCE/004__CURRENT_CORPUS_STOP_AND_AUTHOR_INPUT_GATE.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/244_S_M_Q18_Q22_P1_CURRENT_CORPUS_STOP_AND_AUTHOR_INPUT_GATE_SK.md"	"parent-context"	"E1022081A608296BC5C6C2A54CEB9BB555E264728D933170B5EED6124D32085D"	"E1022081A608296BC5C6C2A54CEB9BB555E264728D933170B5EED6124D32085D"	"Current-corpus boundary and author-input provenance"
"EVIDENCE/005__SM_V1_AUTHOR_INPUT_CONTRACT.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/245_A1_K1_A2_K4_P5_3_SM_v1_AUTHOR_INPUT_CONTRACT_DRAFT_SK.md"	"parent-primary"	"AF289165385801F019454F2CAFF41EFEB25D0A3E2444FA73EAF6B6EBF4E901CB"	"AF289165385801F019454F2CAFF41EFEB25D0A3E2444FA73EAF6B6EBF4E901CB"	"Parent D03-D11 dependencies, MF1-MF4 map and nonclaims"
"EVIDENCE/006__B6B1_ANALYTIC_ENVELOPES.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/246_B6B1_ANALYTIC_BACKGROUND_SOURCE_MOMENT_ENVELOPES_SK.md"	"analytic-envelope"	"5E911971C2B7BAF2C2054228993766D753617D083F240A85FAAE75CF6C449223"	"5E911971C2B7BAF2C2054228993766D753617D083F240A85FAAE75CF6C449223"	"Common and MF-family background/source-moment envelope lineage"
"EVIDENCE/007__B6B2_SEARCH_AND_S8_PASSPORT.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/247_B6B2_PERTURBATION_SEARCH_AND_S8_PASSPORT_SK.md"	"passport-schema"	"BEFF839636810D8AB83985DEE4CCF65892F15F670343AB6416450799131C895E"	"BEFF839636810D8AB83985DEE4CCF65892F15F670343AB6416450799131C895E"	"P0-P8 perturbation/search/S8 passport and non-leakage rules"
"EVIDENCE/008__WORKING_METHODOLOGY_REGISTER.md"	"tracks/METHODOLOGY/05_WORKING_Methodology_Rules_and_Question_Register_SK.md"	"methodology"	"AB29543ACD4F132276DF59E1020EEA6FB3A042C78FAAA1B7DDD448F5479D0FF1"	"AB29543ACD4F132276DF59E1020EEA6FB3A042C78FAAA1B7DDD448F5479D0FF1"	"FS-GATE-01, evidence classes and non-overclaim discipline"
"EVIDENCE/009__CONSTRAINT_FEASIBILITY_GATE.md"	"tracks/METHODOLOGY/00_CONSTRAINT_FEASIBILITY_GATE_SK.md"	"feasibility-evidence-class"	"4A0BA3539CFCEE23AEBBA246E4DD1486EEE315B036FE3A0A23821656932A27EC"	"4A0BA3539CFCEE23AEBBA246E4DD1486EEE315B036FE3A0A23821656932A27EC"	"E0-E3 classification and scoped exclusion requirements"
"EVIDENCE/010__CURRENT_EXECUTION_PLAN.md"	"tracks/00_CURRENT_EXECUTION_PLAN.md"	"authoritative-state"	"599D083332D0E5636FC0E0762B4E1CF0315CDB1FEDECCE292EC870364556D749"	"599D083332D0E5636FC0E0762B4E1CF0315CDB1FEDECCE292EC870364556D749"	"Authoritative B6b-2.3 state, nonclaims and P4 successor"
