"condition_id","domain","quantity_or_condition","required_value_or_range","canonical_class","subtype_v3_18","status_v3_18","scope","external_reference_at_cutoff","comparison_prerequisites","impact_if_not_satisfied","possible_theory_life_impact","evidence_or_cross_reference","mandatory_nonclaim"
"EC01","globálna životaschopnosť","spoločná prípustná množina všetkých povinných podmienok","pre každú plne špecifikovanú koľaj t vo verziou zmrazenom konečnom registri T_top^(v): A_t=A_exact,t ∩ A_observational,t ∩ ⋂_i pullback_i(A_i,t); A_theory=⋃_{t in T_top^(v)} A_t musí byť neprázdna","EXACT_PHYSICAL_LAW","EXACT_THEORY_EXISTENCE_CONDITION","GLOBAL_FEASIBILITY_INCOMPLETE","celá KBTP","žiadna jedna meraná hodnota nenahrádza globálnu OR logiku","preukázane úplný verziou zmrazený T_top^(v); plné kontrakty koľají; všetky exaktné identity; complete observable mapy; neistoty; kovariancie; systematiky","THEORY_STOP je dovolený iba ak je T_top^(v) preukázane úplný a každé A_t certifikovane prázdne; WAITING alebo iba pomenovaná záložná koľaj nie je kladný witness a znamená GLOBAL_FEASIBILITY_INCOMPLETE","THEORY_LEVEL_IF_CERTIFIED","03 §4; 01 §§8.1 a 12","Alternatívne koľaje sa zjednocujú, ale register je konečný a zmrazený pre danú verziu. Nová koľaj musí mať nový identifikátor, fyzikálny rozdiel a predregistrované mantinely; spätne nemaže smrť staršieho scope."
"EC02","zachovanie","úplný lokálny prenos energie a hybnosti","Σ_A Q_A^mu=0 presne","EXACT_PHYSICAL_LAW","EXACT_PHYSICAL_LAW","PARTIAL_BACKGROUND_ONLY","každá interakčná formulácia; v A1-K1 je zatiaľ iba Q_f+Q_c=0","žiadna tolerancia","kovariantné Q_A^mu pre všetky druhy; protizdroje; Bianchi identity; rovnaké znamienka a gauge","nenulový presný súčet zabíja danú formuláciu; track iba ak je chyba neodstrániteľná v jeho identite","POTENTIAL_TRACK_LEVEL_AFTER_PROVED_UNAVOIDABILITY","01 rovnice 16 a 37; 03 §§3–4","Backgroundová kancelácia sama nedokazuje hybnostné ani perturbatívne zachovanie."
"EC03","background","kladnosť fyzických hustôt a Hubbleovej miery","rho_A>=0 pre fyzické druhy a H^2>0 na požadovanej histórii","EXACT_PHYSICAL_LAW","EXACT_PHYSICAL_GUARD","OPEN_FULL_HISTORY","každý backgroundový člen rodiny","žiadna voľná tolerancia mimo numerickej chyby","celá evolúcia; presné jednotky; bez clipov; rozlíšenie fyzickej a efektívnej hustoty","fyzická záporná hustota alebo H^2<=0 zabíja presný backgroundový člen","FORMULATION_LEVEL_UNLESS_UNAVOIDABLE_GLOBALLY","01 §5.1; 03 §4","Numerický floor alebo solverový guard nie je fyzikálna kladnosť."
"EC04","background","univerzálnosť FLRW expanzie","partial H(a,k)/partial k=0; jedno H(a) pre všetky Fourierove módy","EXACT_PHYSICAL_LAW","EXACT_PHYSICAL_LAW","ACCEPTED_NORMALIZATION_IDENTITY","homogénny FLRW background","žiadna tolerancia","sledovanie proveniencie k; viac módov; presné jednotky; žiadny skrytý fit","reziduálna fyzická závislosť backgroundu od realizovaného k zabíja danú formuláciu alebo implementáciu","POTENTIAL_TRACK_LEVEL_AFTER_EXHAUSTION","01 §5.2; EA-20260717-004","Nezávislosť od k nedokazuje správnu normalizáciu amplitúdy ani správny celý background."
"EC05","background","normalizačná kancelácia skorého palivového členu","Phi(k)=A_f[H0 sqrt(Omega_r0)/k]^p a Phi(k) z^p=A_f a^p; p=4-3 delta","EXACT_PHYSICAL_LAW","EXACT_ALGEBRAIC_IDENTITY","CONDITIONAL_A1_NORMALIZATION_ACCEPTED","presný skorý K7/A1 most","žiadna tolerancia okrem roundoff","rovnaká definícia z; k v Mpc^-1; A_f nezávislé od k; test viacerých módov","algebraický nesúlad je matematický rozpor; nesprávna fyzická mapa zabíja presný most","FORMULATION_LEVEL","01 rovnice 17–22; EA-20260717-004","Táto kancelácia neodvodzuje mikrofyzický pôvod A_f."
"EC06","transfer","prípustná rodina lambda","skúmaný smer lambda>=0; lambda=0 je nulový transfer; body 0.10 a 0.15 sú oddelené","OPEN_NO_KILL_WINDOW","OPEN_NO_CERTIFIED_INTERVAL","RANGE_NOT_YET_CERTIFIED","A1-K1 fuel-to-ash transfer family","žiadny observačný interval ešte nie je zmrazený","EC02–EC05; správny lambda->0 limit; super/subhorizontová stabilita; BBN/CMB/BAO/LSS/lensing likelihood","zlyhanie jedného bodu zabíja iba daného člena; certifikovaný prázdny interval by zabil túto transferovú rodinu","FORMULATION_OR_TRACK_LEVEL_AFTER_COMPLETE_RANGE_PROOF","01 §5.1; Q18; Q23","Body 0.10 a 0.15 nevytvárajú dokázaný interval 0.10–0.15."
"EC07","kauzalita","spoločný limitný kužeľ","c_gamma=c_GW=c_matter=c v úplnom lokálnom limite","EXACT_PHYSICAL_LAW","OPEN_FUNDAMENTAL_CONSTRAINT","NOT_DERIVED","všetky spinové a hmotové sektory","GW170817/GRB170817A: timing-derived conservative interval -3e-15 <= (c_GW-c_gamma)/c <= +7e-16 z delay 1.74±0.05 s; abstrakt zdroja neuvádza konvenčnú CL pre tento speed interval","spoločná efektívna metrika; source-emission timing; boost sektor; birefringencia; všetky druhy","robustná odchýlka po úplnej mape zabíja common-cone formuláciu","POTENTIAL_THEORY_LEVEL_ONLY_IF_COMMON_CONE_IS_FUNDAMENTAL_AND_EXHAUSTIVE","01 §4.6; https://arxiv.org/abs/1710.05834","Skalárna párnosť ani spoločný substrát samy neodvodzujú spoločné c."
"EC08","Lorentz/disperzia","nepárny lineárny disperzný člen","koeficient lineárneho nepárneho členu =0 presne v auditovanom cosine-Laplacian operátore","EXACT_PHYSICAL_LAW","EXACT_SCOPED_SURVIVAL_CONDITION","DERIVED_IN_SCALAR_OPERATOR_SCOPE","auditovaný skalárny operátor; prediction link P10","Fermi-LAT GRB090510 subluminal 95% CL: E_QG,1>7.6 E_Pl a E_QG,2>1.3e11 GeV; LHAASO GRB221009A 95% CL: E_QG,1 približne >10 E_Pl a E_QG,2>6e-8 E_Pl podľa znamienka a parametrizácie","mapa q/k na fyzický fotón; znamienko; normalizácia koeficienta; energia; source model; likelihood","nenulový odd linear term zabíja tento operátor; observačný konflikt zabíja fyzickú realizáciu až po photon mape","FORMULATION_LEVEL_UNLESS_ALTERNATIVES_EXHAUSTED","01 §§4.5 a 7.6; P10; https://arxiv.org/abs/1305.3463; https://arxiv.org/abs/2402.06009","Kvadratická medza nie je exaktná nula a bez normalizácie nie je priamo koeficientom KBTP."
"EC09","ekvivalenčný princíp","univerzálny voľný pád","eta=0 v fundamentálnej univerzálnej formulácii","EXACT_PHYSICAL_LAW","OPEN_FUNDAMENTAL_CONSTRAINT","NOT_DERIVED","hmota/popol a všetky kompozície","MICROSCOPE: eta(Ti,Pt)=[-1.5 ±2.3(stat) ±1.5(syst)]e-15 pri 1 sigma","odvodené zloženie a väzby Ti/Pt; detector/force mapa; pôvodná likelihood alebo zmrazená CL rekonštrukcia","kompozične závislý pád mimo dátovej tolerancie zabíja mapovanú univerzálnu formuláciu","POTENTIAL_THEORY_LEVEL_ONLY_IF_EP_IS_UNAVOIDABLE_FOR_ALL_TOP_TRACKS","01 §§4.6 a 7.6; https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.129.121102","Skratka |eta|<2.7e-15 nie je totožná s publikovaným výsledkom s oddelenou štatistickou a systematickou neistotou."
"EC10","GR/poruchy","Einsteinove constrainty Bianchi a gauge closure","R_00=R_0i=R_tr=R_tl=0 presne v deklarovanom statickom scope; dynamické constrainty sa musia zachovať","EXACT_PHYSICAL_LAW","EXACT_PHYSICAL_LAW","STATIC_SCOPE_ONLY","A2-K4 a každý budúci covariant perturbation system","žiadna tolerancia mimo explicitnej numerickej chyby","úplná dynamická evolúcia; rovnaký gauge; anizotropický stress; Bianchi; nezávislé rezíduá","presný algebraický nesúlad zabíja formuláciu; dynamický drift vyžaduje najprv technickú versus fyzickú diagnózu","POTENTIAL_TRACK_LEVEL","01 §9.2 P5.1–P5.2; rovnice 37–38","Statické nuly nedokazujú zachovanie constraintov počas evolúcie. Porušenie Bianchiho identity alebo konzervácie môže znamenať nekonzistenciu či drift constraintov; samo osebe nedokazuje ghost, ktorý vyžaduje samostatnú kinetickú/Hamiltonovskú analýzu podľa EC11."
