copy_path	source_path	role	source_sha256	copy_sha256	reason
EVIDENCE\001__AUDIT_HYPOTHESES_RULE.md	Audit\00_PRAVIDLO_vsetky_vstupy_autora_su_hypotezy.md	context-rule	DCA1748D49D32C9F5B28AFCF6999C895D95049F5CF4DC79F7048240B9DC9224A	DCA1748D49D32C9F5B28AFCF6999C895D95049F5CF4DC79F7048240B9DC9224A	author claims remain hypotheses
EVIDENCE\002__AUDITOR_PACKAGE_PROTOCOL_R3.md	External_Audits\00_AUDITOR_PACKAGE_PROTOCOL_SK.md	process-contract	E92C56DAD04064EEADF908EFBC850CDE2918B62021CB33F8F17F10E342744ABF	E92C56DAD04064EEADF908EFBC850CDE2918B62021CB33F8F17F10E342744ABF	updated package protocol
EVIDENCE\003__EXTERNAL_AUDIT_003.md	External_Audits\RESPONSES\EA-20260717-003-KMPC035-CDI-SUPPORT\00_AUDITOR_AUDIT.md	external-finding	EFF0BB2DF1F5E2751EF09C63C1C5314AF96A4B01AE8974EA545C1B6B49B03B8A	EFF0BB2DF1F5E2751EF09C63C1C5314AF96A4B01AE8974EA545C1B6B49B03B8A	findings F1-F7
EVIDENCE\004__MAIN_ASSESSMENT_003.md	External_Audits\RESPONSES\EA-20260717-003-KMPC035-CDI-SUPPORT\01_MAIN_ORCHESTRATOR_ASSESSMENT_2026-07-17.md	authoritative-assessment	C674DC50AEC0602289BD48E4F4006F6E6E0B3F64E7B05D4D704FEFBBD7DC3AD2	C674DC50AEC0602289BD48E4F4006F6E6E0B3F64E7B05D4D704FEFBBD7DC3AD2	accepted scope and limitations
EVIDENCE\005__KMPC035_PREREG.md	tracks\A1\A1K1\A2\A2K4\SUBTRACKS\P5\P5_3_SEEDS\60_KMPC_035_CDI_C2_SUPPORT_03_05_LADDER_PREREGISTRATION_SK.md	primary-contract	78EFE7FAD691032FD7885665FE66A616E32B244ED32B4D66E6AD523DB05A1F9B	78EFE7FAD691032FD7885665FE66A616E32B244ED32B4D66E6AD523DB05A1F9B	frozen thresholds
EVIDENCE\006__KMPC035_EXECUTION_LEDGER.md	tracks\A1\A1K1\A2\A2K4\SUBTRACKS\P5\P5_3_SEEDS\61_KMPC_035_CDI_C2_EXECUTION_LEDGER_SK.md	derived-execution	0285DE0104D9A94D4101BB071C4F72DBFC27BF59AA74452CF6C8A07466C899DE	0285DE0104D9A94D4101BB071C4F72DBFC27BF59AA74452CF6C8A07466C899DE	original process record
EVIDENCE\007__KMPC035_RESULT_AUDIT.md	tracks\A1\A1K1\A2\A2K4\SUBTRACKS\P5\P5_3_SEEDS\62_KMPC_035_GLOBAL_C1_CDI_SUPPORT_STEP_2_RESULT_AND_AUDIT_SK.md	derived-audit	0F5ECE8192F95FEFF57811CF1D6EB411C53B15CADD18060F6BB6B4AA73FE9765	0F5ECE8192F95FEFF57811CF1D6EB411C53B15CADD18060F6BB6B4AA73FE9765	current scoped verdict
EVIDENCE\008__ORIGINAL_RUNNER_279.py	scripts\279_script_KMPC_035_P5_3g7_CDI_C2_support_03_05_ladder.py	primary-runner	09F86A2A6E8BA81F4F41C73722BC40264888D1EF45BB4016F223A5E2C76649E3	09F86A2A6E8BA81F4F41C73722BC40264888D1EF45BB4016F223A5E2C76649E3	historical official runner
EVIDENCE\009__BASE_CDI_SUPPORT_LADDER.py	scripts\baseScripts\p5_general_synchronous\cdi_support_ladder.py	primary-base	A8257E2195E2AB61B5C4195B80EA44EE7669B5A52F9C8440BA5F5244190E3068	A8257E2195E2AB61B5C4195B80EA44EE7669B5A52F9C8440BA5F5244190E3068	direct calculation base
EVIDENCE\010__KMPC034_RUNTIME_PREREQUISITE.json	scripts\results\k_mpc_005\RUN_KMPC_034_P5_3G7_CDI_C1_PRIMARY_EXTENDED_COVERAGE.json	runtime-prerequisite	37FB4453CBFF38710CF5694C21104689F1B070742FB02324011AA389508DCE20	37FB4453CBFF38710CF5694C21104689F1B070742FB02324011AA389508DCE20	repairs finding F1
