"condition_id","domain","quantity_or_condition","required_value_or_range","canonical_class","subtype_v3_18","status_v3_18","scope","external_reference_at_cutoff","comparison_prerequisites","impact_if_not_satisfied","possible_theory_life_impact","evidence_or_cross_reference","mandatory_nonclaim"
"EC01","global viability","common admissible set of all mandatory conditions","for every fully specified track t in the finite version-frozen register T_top^(v): A_t=A_exact,t ∩ A_observational,t ∩ ⋂_i pullback_i(A_i,t); A_theory=⋃_{t in T_top^(v)} A_t must be nonempty","EXACT_PHYSICAL_LAW","EXACT_THEORY_EXISTENCE_CONDITION","GLOBAL_FEASIBILITY_INCOMPLETE","whole QCTS","no single measurement replaces the global OR logic","proved-complete version-frozen T_top^(v); full track contracts; all exact identities; complete observable maps; uncertainties; covariance; systematics","THEORY_STOP is allowed only if T_top^(v) is proved exhaustive and every A_t is certified empty; a WAITING or merely named backup track is not a positive witness and leaves GLOBAL_FEASIBILITY_INCOMPLETE","THEORY_LEVEL_IF_CERTIFIED","03 section 4; 01 sections 8.1 and 12","Alternative tracks are united, but the register is finite and frozen for that version. A new track needs a new identifier, a physical distinction and preregistered constraints; it does not retroactively erase the death of an older scope."
"EC02","conservation","complete local energy-momentum transfer","Σ_A Q_A^mu=0 exactly","EXACT_PHYSICAL_LAW","EXACT_PHYSICAL_LAW","PARTIAL_BACKGROUND_ONLY","each interaction formulation; A1-K1 currently has only Q_f+Q_c=0","no tolerance","covariant Q_A^mu for every species; counter-sources; Bianchi identities; same signs and gauge","a nonzero exact sum kills the formulation; the track only if the defect is unavoidable within its identity","POTENTIAL_TRACK_LEVEL_AFTER_PROVED_UNAVOIDABILITY","01 equations 16 and 37; 03 sections 3–4","Background cancellation alone does not prove momentum or perturbative conservation."
"EC03","background","positivity of physical densities and Hubble rate","rho_A>=0 for physical species and H^2>0 over the required history","EXACT_PHYSICAL_LAW","EXACT_PHYSICAL_GUARD","OPEN_FULL_HISTORY","every member of the background family","no free tolerance beyond numerical error","full evolution; exact units; no clips; distinguish physical from effective density","a physical negative density or H^2<=0 kills the exact background member","FORMULATION_LEVEL_UNLESS_UNAVOIDABLE_GLOBALLY","01 section 5.1; 03 section 4","A numerical floor or solver guard is not physical positivity."
"EC04","background","universality of FLRW expansion","partial H(a,k)/partial k=0; one H(a) for all Fourier modes","EXACT_PHYSICAL_LAW","EXACT_PHYSICAL_LAW","ACCEPTED_NORMALIZATION_IDENTITY","homogeneous FLRW background","no tolerance","trace k provenance; multiple modes; exact units; no hidden fit","residual physical dependence on realised k kills the formulation or implementation","POTENTIAL_TRACK_LEVEL_AFTER_EXHAUSTION","01 section 5.2; EA-20260717-004","k independence does not prove the amplitude normalisation or the complete background."
"EC05","background","normalisation cancellation of the early fuel term","Phi(k)=A_f[H0 sqrt(Omega_r0)/k]^p and Phi(k) z^p=A_f a^p; p=4-3 delta","EXACT_PHYSICAL_LAW","EXACT_ALGEBRAIC_IDENTITY","CONDITIONAL_A1_NORMALIZATION_ACCEPTED","exact early K7/A1 bridge","no tolerance except roundoff","same z definition; k in Mpc^-1; k-independent A_f; multiple-mode test","algebraic mismatch is a mathematical contradiction; a wrong physical map kills the exact bridge","FORMULATION_LEVEL","01 equations 17–22; EA-20260717-004","This cancellation does not derive the microphysical origin of A_f."
"EC06","transfer","admissible lambda family","studied direction lambda>=0; lambda=0 is zero transfer; 0.10 and 0.15 are separate points","OPEN_NO_KILL_WINDOW","OPEN_NO_CERTIFIED_INTERVAL","RANGE_NOT_YET_CERTIFIED","A1-K1 fuel-to-ash transfer family","no observational interval is frozen","EC02–EC05; correct lambda->0 limit; super/subhorizon stability; BBN/CMB/BAO/LSS/lensing likelihood","failure of one point kills only that member; a certified empty interval would kill this transfer family","FORMULATION_OR_TRACK_LEVEL_AFTER_COMPLETE_RANGE_PROOF","01 section 5.1; Q18; Q23","The 0.10 and 0.15 points do not establish a 0.10–0.15 viability interval."
"EC07","causality","common limiting cone","c_gamma=c_GW=c_matter=c in the full local limit","EXACT_PHYSICAL_LAW","OPEN_FUNDAMENTAL_CONSTRAINT","NOT_DERIVED","all spin and matter sectors","GW170817/GRB170817A: timing-derived conservative interval -3e-15 <= (c_GW-c_gamma)/c <= +7e-16 from a 1.74±0.05 s delay; the source abstract gives no conventional CL for this speed interval","common effective metric; source-emission timing; boost sector; birefringence; all species","a robust deviation after full mapping kills the common-cone formulation","POTENTIAL_THEORY_LEVEL_ONLY_IF_COMMON_CONE_IS_FUNDAMENTAL_AND_EXHAUSTIVE","01 section 4.6; https://arxiv.org/abs/1710.05834","Scalar parity or a common substrate alone does not derive a common c."
"EC08","Lorentz/dispersion","odd linear dispersion term","odd linear coefficient =0 exactly in the audited cosine-Laplacian operator","EXACT_PHYSICAL_LAW","EXACT_SCOPED_SURVIVAL_CONDITION","DERIVED_IN_SCALAR_OPERATOR_SCOPE","audited scalar operator; prediction link P10","Fermi-LAT GRB090510 subluminal 95% CL: E_QG,1>7.6 E_Pl and E_QG,2>1.3e11 GeV; LHAASO GRB221009A 95% CL: E_QG,1 approximately >10 E_Pl and E_QG,2>6e-8 E_Pl according to sign and parameterisation","map q/k to physical photons; sign; coefficient normalisation; energy; source model; likelihood","a nonzero odd linear term kills this operator; observational conflict kills a physical realisation only after the photon map","FORMULATION_LEVEL_UNLESS_ALTERNATIVES_EXHAUSTED","01 sections 4.5 and 7.6; P10; https://arxiv.org/abs/1305.3463; https://arxiv.org/abs/2402.06009","The quadratic bound is not exact zero and without normalisation is not directly a QCTS coefficient."
"EC09","equivalence principle","universal free fall","eta=0 in a fundamental universal formulation","EXACT_PHYSICAL_LAW","OPEN_FUNDAMENTAL_CONSTRAINT","NOT_DERIVED","matter/ash and all compositions","MICROSCOPE: eta(Ti,Pt)=[-1.5 ±2.3(stat) ±1.5(syst)]e-15 at 1 sigma","derived Ti/Pt composition couplings; detector/force map; original likelihood or frozen CL reconstruction","composition-dependent fall outside data tolerance kills the mapped universal formulation","POTENTIAL_THEORY_LEVEL_ONLY_IF_EP_IS_UNAVOIDABLE_FOR_ALL_TOP_TRACKS","01 sections 4.6 and 7.6; https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.129.121102","The shortcut |eta|<2.7e-15 is not identical to the published result with separate statistical and systematic errors."
"EC10","GR/perturbations","Einstein constraints Bianchi and gauge closure","R_00=R_0i=R_tr=R_tl=0 exactly in the declared static scope; dynamic constraints must be preserved","EXACT_PHYSICAL_LAW","EXACT_PHYSICAL_LAW","STATIC_SCOPE_ONLY","A2-K4 and every future covariant perturbation system","no tolerance beyond explicit numerical error","complete dynamics; same gauge; anisotropic stress; Bianchi; independent residuals","exact algebraic mismatch kills the formulation; dynamic drift first needs technical-versus-physical diagnosis","POTENTIAL_TRACK_LEVEL","01 section 9.2 P5.1–P5.2; equations 37–38","Static zeros do not prove constraint preservation during evolution. Failure of the Bianchi identity or conservation may imply inconsistency or constraint drift; by itself it does not prove a ghost, which requires the separate kinetic/Hamiltonian analysis in EC11."
