"copy_path"	"source_path"	"role"	"source_sha256"	"copy_sha256"	"reason"
"EVIDENCE/014__PRIMARY_SM_V1_CONSTRAINT_FUNCTION_DRAFT.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/245_A1_K1_A2_K4_P5_3_SM_v1_AUTHOR_INPUT_CONTRACT_DRAFT_SK.md"	"primary-formula"	"94D534C6B899C219E26FC508434199C511A84B8438792A2421D10A4E3606E2B9"	"94D534C6B899C219E26FC508434199C511A84B8438792A2421D10A4E3606E2B9"	"Constraint-first mapa, B0-B2 a eventova faktorizacia"
"EVIDENCE/001__SM_Q18_Q22_CURRENT_CORPUS_GATE.md"	"tracks/A1/A1K1/A2/A2K4/SUBTRACKS/P5/P5_3_SEEDS/244_S_M_Q18_Q22_P1_CURRENT_CORPUS_STOP_AND_AUTHOR_INPUT_GATE_SK.md"	"authoritative-gate"	"E1022081A608296BC5C6C2A54CEB9BB555E264728D933170B5EED6124D32085D"	"E1022081A608296BC5C6C2A54CEB9BB555E264728D933170B5EED6124D32085D"	"Povodna STOP brana a otvoreny autorov vstup"
"EVIDENCE/002__Q22A_CONSTRAINT_TO_FUNCTION_PROTOCOL.md"	"Questions/Q22A_CONSTRAINT_TO_FUNCTION_DERIVATION_PROTOCOL_SK.md"	"derivation-protocol"	"5B6BE06FFD3C15B9E750BB0BAED6E5936B92F4A4DC9FCB1A264444E2C7BAD54E"	"5B6BE06FFD3C15B9E750BB0BAED6E5936B92F4A4DC9FCB1A264444E2C7BAD54E"	"Pravidlo odvodit funkciu z mantinelov a nie fitom"
"EVIDENCE/003__Q22A_EARLY_STEAM_CONSTRAINT_LEDGER.md"	"Questions/Q22A_EARLY_STEAM_FUNCTION_CONSTRAINT_LEDGER_SK.md"	"constraint-ledger"	"8F1DF72F056A183D156776F0CD507FAB0FAF6D44A8C75D1E2F487ADB90551A24"	"8F1DF72F056A183D156776F0CD507FAB0FAF6D44A8C75D1E2F487ADB90551A24"	"Tvrde mantinely skoreho parneho zdroja"
"EVIDENCE/004__Q22A_FUNCTION_EXISTENCE_AUDIT.md"	"Questions/Q22A_EARLY_STEAM_FUNCTION_EXISTENCE_AUDIT_SK.md"	"existence-audit"	"CDEBADB9927EC39E922EC618C4E577E09C769C9D1D116B1FFF04766D78720DBA"	"CDEBADB9927EC39E922EC618C4E577E09C769C9D1D116B1FFF04766D78720DBA"	"Existencia efektivnej triedy bez tvrdenia jedinecnosti"
"EVIDENCE/005__Q22A_DIVISION_PRODUCT_SEQUENCE.md"	"Questions/Q22A_DIVISION_PRODUCT_SEQUENCE_TRACKS_SK.md"	"product-sequence"	"143EBDED248B481D61FAD1170F0302FDAE8A5133590999CA87D7B81A05A7120E"	"143EBDED248B481D61FAD1170F0302FDAE8A5133590999CA87D7B81A05A7120E"	"Kauzalne poradie palivo-hmota-popol-para"
"EVIDENCE/006__MAIN_THEORY_V3_17_SK.md"	"theory/SK/04_Main_Document_Theory_Equations_Values_v3.17_SK.md"	"theory-context"	"01B8DD903C3BB97B30E29E2C1E2E2B280D3968EDD0679C610E84A78CC55CBF43"	"01B8DD903C3BB97B30E29E2C1E2E2B280D3968EDD0679C610E84A78CC55CBF43"	"Bunkova filozofia a historicke A12-A13 rovnice"
"EVIDENCE/007__METHODOLOGY_ADDENDUM_V3_18_SK.md"	"theory/SK/05c_Methodology_Rules_and_Question_Register_v3.18_ADDENDUM_SK.md"	"methodology"	"590FE20A3FCF279A7628E95C2ADC24FFD19AF15A6F528B8035BDCB8D6ACC2A63"	"590FE20A3FCF279A7628E95C2ADC24FFD19AF15A6F528B8035BDCB8D6ACC2A63"	"AR pravidla a aktualny Q18-Q22 scope"
"EVIDENCE/008__CURRENT_EXECUTION_PLAN.md"	"tracks/00_CURRENT_EXECUTION_PLAN.md"	"authoritative-plan"	"EAA763EDF4C0055DA83A01DA12DDBAB0D6F81B6E59BD74AABDB843E79FA66427"	"EAA763EDF4C0055DA83A01DA12DDBAB0D6F81B6E59BD74AABDB843E79FA66427"	"Aktualny stav D03, K4 a blokovane kroky"
"EVIDENCE/009__AGENTS.md"	"AGENTS.md"	"ruleset-bootstrap"	"BD64D6AC1C583194A67B3ABC5423467AF3F5F292F0293AF68F02AA3BBC503EE5"	"BD64D6AC1C583194A67B3ABC5423467AF3F5F292F0293AF68F02AA3BBC503EE5"	"Repo pravidla pre izolovany audit"
"EVIDENCE/010__PROJECT_OPERATING_SYSTEM.md"	"tracks/00_PROJECT_OPERATING_SYSTEM.md"	"ruleset-bootstrap"	"F4F0C3610CBE5BDF05DEC7EE606534682222DBF959F439686CF89FA7B0F7E543"	"F4F0C3610CBE5BDF05DEC7EE606534682222DBF959F439686CF89FA7B0F7E543"	"Autoritativny projektovy proces"
"EVIDENCE/011__AUDITOR_PACKAGE_PROTOCOL_R6.md"	"External_Audits/00_AUDITOR_PACKAGE_PROTOCOL_SK.md"	"ruleset-bootstrap"	"4330FFD3D22C27CC60A3693E9B4694B601903FC6490A4DB7F56B56B1C4FD5272"	"4330FFD3D22C27CC60A3693E9B4694B601903FC6490A4DB7F56B56B1C4FD5272"	"R6 package a response protokol"
